,名前,説明,画像,動画,属性情報→,,,,個数
tokenId,name,description,image_url,animation_url,place,image quality,,,
1083,#1083 🙏Itadakimasu Man🙏 2023/02/12,"Created by [itadakimasu-man](https://opensea.io/itadakimasu-man)  \n  \nI have been taking my own itadakimasu videos daily since March 2020.  \nEveryone, let's Itadakimasu.  \nいただきまーす🙏  \n  \nI am generating NFTs with Youtube thumbnails.  \nYouTubeのサムネイルをNFTにしました。  \n  \n🙏Itadakimasu Man🙏 1083 シアトルスタイルのカフェ、ストリーマーコーヒーカンパニー中目黒のホットドッグ＋ドリンクセットをウーバーイーツでデリバリーして食べてみた #ASMR \n[https://www.youtube.com/watch?v=XJOgwINwkXY](https://www.youtube.com/watch?v=XJOgwINwkXY)",ipfs://QmY9c8PaY8pyRE31t1dTHYt96RxWqGB1tZ1EmW4NK4692e,,home,high,,,
1082,#1082 🙏Itadakimasu Man🙏 2023/02/11,"Created by [itadakimasu-man](https://opensea.io/itadakimasu-man)  \n  \nI have been taking my own itadakimasu videos daily since March 2020.  \nEveryone, let's Itadakimasu.  \nいただきまーす🙏  \n  \nI am generating NFTs with Youtube thumbnails.  \nYouTubeのサムネイルをNFTにしました。  \n  \n🙏Itadakimasu Man🙏 1082 さぬきうどん こがね製麺所 恵比寿店の肉温玉ぶっかけうどん（1玉）をウーバーイーツでデリバリーして食べてみた #ASMR \n[https://www.youtube.com/watch?v=AcKznHGnWdI](https://www.youtube.com/watch?v=AcKznHGnWdI)",ipfs://Qma5UUcWHUG654wRiHmbaAGUCdZ2XBneCT8Rz4aGHVoetc,,home,high,,,
1081,#1081 🙏Itadakimasu Man🙏 2023/02/10,"Created by [itadakimasu-man](https://opensea.io/itadakimasu-man)  \n  \nI have been taking my own itadakimasu videos daily since March 2020.  \nEveryone, let's Itadakimasu.  \nいただきまーす🙏  \n  \nI am generating NFTs with Youtube thumbnails.  \nYouTubeのサムネイルをNFTにしました。  \n  \n🙏Itadakimasu Man🙏 1081 たれ焼肉、塩ホルモン。まるきん食堂 渋谷店の焼き肉のり弁当（豚カルビ）をテイクアウトして食べてみた #ASMR \n[https://www.youtube.com/watch?v=QVhHEeXcXGQ](https://www.youtube.com/watch?v=QVhHEeXcXGQ)",ipfs://QmVjCkTNmy8dfke9yT3nCTfQRqWQFTyWrQgLN5PqEaUdML,,home,high,,,
1080,#1080 🙏Itadakimasu Man🙏 2023/02/09,"Created by [itadakimasu-man](https://opensea.io/itadakimasu-man)  \n  \nI have been taking my own itadakimasu videos daily since March 2020.  \nEveryone, let's Itadakimasu.  \nいただきまーす🙏  \n  \nI am generating NFTs with Youtube thumbnails.  \nYouTubeのサムネイルをNFTにしました。  \n  \n🙏Itadakimasu Man🙏 1080 代々木八幡のハンバーガー＆サンドイッチ店ARMS（アームズ）テイクアウト&デリバリーのツナサンドイッチをmenuでデリバリーして食べてみた #ASMR \n[https://www.youtube.com/watch?v=aiouVL8YHMk](https://www.youtube.com/watch?v=aiouVL8YHMk)",ipfs://QmUdrNph1nBvpZ4YFLmuwaMoq6dScuXiQGk7TuTLiV6Um2,,home,high,,,
1079,#1079 🙏Itadakimasu Man🙏 2023/02/08,"Created by [itadakimasu-man](https://opensea.io/itadakimasu-man)  \n  \nI have been taking my own itadakimasu videos daily since March 2020.  \nEveryone, let's Itadakimasu.  \nいただきまーす🙏  \n  \nI am generating NFTs with Youtube thumbnails.  \nYouTubeのサムネイルをNFTにしました。  \n  \n🙏Itadakimasu Man🙏 1079 白金台のペルー料理店ザ テンダーハウスダイニングのペルー風チーズバーガーとインカコーラをmenuでデリバリーして食べてみた #ASMR \n[https://www.youtube.com/watch?v=SJlx4UzGnI8](https://www.youtube.com/watch?v=SJlx4UzGnI8)",ipfs://QmPmPNU4iH3kgxsLrMQ6YJuVm6aQMgSQ5LSaw8PBi99i6C,,home,high,,,
1078,#1078 🙏Itadakimasu Man🙏 2023/02/07,"Created by [itadakimasu-man](https://opensea.io/itadakimasu-man)  \n  \nI have been taking my own itadakimasu videos daily since March 2020.  \nEveryone, let's Itadakimasu.  \nいただきまーす🙏  \n  \nI am generating NFTs with Youtube thumbnails.  \nYouTubeのサムネイルをNFTにしました。  \n  \n🙏Itadakimasu Man🙏 1078 イタリアンカフェ、カフェパスクッチ西麻布のヨーグルトグラノーラミックスをmenuでデリバリーして食べてみた #ASMR \n[https://www.youtube.com/watch?v=WQTktY_0pLg](https://www.youtube.com/watch?v=WQTktY_0pLg)",ipfs://Qmasn3oW7Dd3S3E7uQRPnjXRgiLC5qiZXthWCEVWrHXKEV,,home,high,,,
1077,#1077 🙏Itadakimasu Man🙏 2023/02/06,"Created by [itadakimasu-man](https://opensea.io/itadakimasu-man)  \n  \nI have been taking my own itadakimasu videos daily since March 2020.  \nEveryone, let's Itadakimasu.  \nいただきまーす🙏  \n  \nI am generating NFTs with Youtube thumbnails.  \nYouTubeのサムネイルをNFTにしました。  \n  \n🙏Itadakimasu Man🙏 1077 外苑前のサンドイッチ店、Tokyo Sandoのヴィーガンサンドイッチをウーバーイーツでデリバリーして食べてみた #ASMR \n[https://www.youtube.com/watch?v=mNGD26SMMLg](https://www.youtube.com/watch?v=mNGD26SMMLg)",ipfs://QmeiMrpcBh6Sc6MBVGrM1KE8HKH9Sc2nzFPjoKcJRN2fBr,,home,high,,,
1076,#1076 🙏Itadakimasu Man🙏 2023/02/05,"Created by [itadakimasu-man](https://opensea.io/itadakimasu-man)  \n  \nI have been taking my own itadakimasu videos daily since March 2020.  \nEveryone, let's Itadakimasu.  \nいただきまーす🙏  \n  \nI am generating NFTs with Youtube thumbnails.  \nYouTubeのサムネイルをNFTにしました。  \n  \n🙏Itadakimasu Man🙏 1076 三軒茶屋の人気パン店、Richu濱田家 太子堂本店の豆ぱんと大人のキャラメルメロンパンをテイクアウトして食べてみた #ASMR \n[https://www.youtube.com/watch?v=COwKKXLiZR0](https://www.youtube.com/watch?v=COwKKXLiZR0)",ipfs://QmQ7M61J2QgdVukR4KeBm7MxyZHFpzQGzd9qnzwdpBTtrp,,home,high,,,
1075,#1075 🙏Itadakimasu Man🙏 2023/02/04,"Created by [itadakimasu-man](https://opensea.io/itadakimasu-man)  \n  \nI have been taking my own itadakimasu videos daily since March 2020.  \nEveryone, let's Itadakimasu.  \nいただきまーす🙏  \n  \nI am generating NFTs with Youtube thumbnails.  \nYouTubeのサムネイルをNFTにしました。  \n  \n🙏Itadakimasu Man🙏 1075 渋谷東急フードショーのアラビア料理店、カールヴァーンしぶちか店のアラビアンラムバーガーをmenuでデリバリーして食べてみた #ASMR \n[https://www.youtube.com/watch?v=RoYwOPSenXE](https://www.youtube.com/watch?v=RoYwOPSenXE)",ipfs://QmULaX9Z1WcB88hu8nPc2zyYtQvKYBWn7msg3FKQi5dAuw,,home,high,,,
1074,#1074 🙏Itadakimasu Man🙏 2023/02/03,"Created by [itadakimasu-man](https://opensea.io/itadakimasu-man)  \n  \nI have been taking my own itadakimasu videos daily since March 2020.  \nEveryone, let's Itadakimasu.  \nいただきまーす🙏  \n  \nI am generating NFTs with Youtube thumbnails.  \nYouTubeのサムネイルをNFTにしました。  \n  \n🙏Itadakimasu Man🙏 1074 大井町マルシェの牡蠣若手の会で買った井関農園有機米コシヒカリと能登牡蠣オイル漬けを食べてみた #ASMR \n[https://www.youtube.com/watch?v=Ct8ysCftfp0](https://www.youtube.com/watch?v=Ct8ysCftfp0)",ipfs://QmRDW1gaym8iR9XPhDUgvFMEkppWL9na4tMfStbHAT5BEq,,home,high,,,
